provinsi,kode_kota_kabupaten,nama_kota_kabupaten,pdrb_adhk,satuan
JAWA BARAT,3204,KAB. BANDUNG,68805,MILIAR RUPIAH
JAWA BARAT,3217,KAB. BANDUNG BARAT,26926,MILIAR RUPIAH
JAWA BARAT,3216,KAB. BEKASI,216228,MILIAR RUPIAH
JAWA BARAT,3201,KAB. BOGOR,132086,MILIAR RUPIAH
JAWA BARAT,3207,KAB. CIAMIS,18845,MILIAR RUPIAH
JAWA BARAT,3203,KAB. CIANJUR,26981,MILIAR RUPIAH
JAWA BARAT,3209,KAB. CIREBON,29149,MILIAR RUPIAH
JAWA BARAT,3205,KAB. GARUT,33804,MILIAR RUPIAH
JAWA BARAT,3212,KAB. INDRAMAYU,56706,MILIAR RUPIAH
JAWA BARAT,3215,KAB. KARAWANG,140783,MILIAR RUPIAH
JAWA BARAT,3208,KAB. KUNINGAN,13978,MILIAR RUPIAH
JAWA BARAT,3210,KAB. MAJALENGKA,17592,MILIAR RUPIAH
JAWA BARAT,3218,KAB. PANGANDARAN,6603,MILIAR RUPIAH
JAWA BARAT,3214,KAB. PURWAKARTA,40171,MILIAR RUPIAH
JAWA BARAT,3213,KAB. SUBANG,24977,MILIAR RUPIAH
JAWA BARAT,3202,KAB. SUKABUMI,39338,MILIAR RUPIAH
JAWA BARAT,3211,KAB. SUMEDANG,2003,MILIAR RUPIAH
JAWA BARAT,3206,KAB. TASIKMALAYA,20825,MILIAR RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,161228,MILIAR RUPIAH
JAWA BARAT,3279,KOTA BANJAR,2778,MILIAR RUPIAH
JAWA BARAT,3275,KOTA BEKASI,58831,MILIAR RUPIAH
JAWA BARAT,3271,KOTA BOGOR,27002,MILIAR RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,18882,MILIAR RUPIAH
JAWA BARAT,3274,KOTA CIREBON,14063,MILIAR RUPIAH
JAWA BARAT,3276,KOTA DEPOK,40263,MILIAR RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,7379,MILIAR RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,13225,MILIAR RUPIAH
